{'loss': 5.348, 'learning_rate': 1.920156046814044e-07, 'epoch': 1.0}
{'loss': 4.8869, 'learning_rate': 1.8403120936280883e-07, 'epoch': 2.0}
{'loss': 4.4632, 'learning_rate': 1.7604681404421327e-07, 'epoch': 2.99}
{'loss': 4.2829, 'learning_rate': 1.6806241872561768e-07, 'epoch': 3.99}
{'loss': 4.1803, 'learning_rate': 1.600780234070221e-07, 'epoch': 4.99}
{'loss': 4.0869, 'learning_rate': 1.5209362808842652e-07, 'epoch': 5.99}
{'loss': 4.0456, 'learning_rate': 1.4410923276983093e-07, 'epoch': 6.99}
{'loss': 3.9716, 'learning_rate': 1.3612483745123536e-07, 'epoch': 7.98}
{'loss': 3.9233, 'learning_rate': 1.281404421326398e-07, 'epoch': 8.98}
{'loss': 3.869, 'learning_rate': 1.201560468140442e-07, 'epoch': 9.98}
{'loss': 3.8282, 'learning_rate': 1.1217165149544863e-07, 'epoch': 10.98}
{'loss': 3.7876, 'learning_rate': 1.0418725617685305e-07, 'epoch': 11.98}
{'loss': 3.7496, 'learning_rate': 9.620286085825747e-08, 'epoch': 12.97}
{'loss': 3.7192, 'learning_rate': 8.821846553966189e-08, 'epoch': 13.97}
{'loss': 3.6851, 'learning_rate': 8.023407022106631e-08, 'epoch': 14.97}
{'loss': 3.6564, 'learning_rate': 7.224967490247073e-08, 'epoch': 15.97}
{'loss': 3.6291, 'learning_rate': 6.426527958387517e-08, 'epoch': 16.97}
{'loss': 3.5894, 'learning_rate': 5.6280884265279584e-08, 'epoch': 17.96}
{'loss': 3.5776, 'learning_rate': 4.8296488946684006e-08, 'epoch': 18.96}
{'loss': 3.5556, 'learning_rate': 4.031209362808842e-08, 'epoch': 19.96}
{'loss': 3.5472, 'learning_rate': 3.232769830949285e-08, 'epoch': 20.96}
{'loss': 3.5291, 'learning_rate': 2.434330299089727e-08, 'epoch': 21.96}
{'loss': 3.5271, 'learning_rate': 1.6358907672301688e-08, 'epoch': 22.96}
{'loss': 3.5112, 'learning_rate': 8.374512353706111e-09, 'epoch': 23.95}
{'loss': 3.5152, 'learning_rate': 3.9011703511053317e-10, 'epoch': 24.95}
