{'loss': 2.6669, 'learning_rate': 0.0019201560468140443, 'epoch': 1.0}
{'loss': 2.2535, 'learning_rate': 0.0018403120936280883, 'epoch': 2.0}
{'loss': 2.0748, 'learning_rate': 0.0017604681404421328, 'epoch': 2.99}
{'loss': 1.9192, 'learning_rate': 0.0016806241872561768, 'epoch': 3.99}
{'loss': 1.771, 'learning_rate': 0.001600780234070221, 'epoch': 4.99}
{'loss': 1.625, 'learning_rate': 0.0015209362808842654, 'epoch': 5.99}
{'loss': 1.4895, 'learning_rate': 0.0014410923276983094, 'epoch': 6.99}
{'loss': 1.3417, 'learning_rate': 0.0013612483745123539, 'epoch': 7.98}
{'loss': 1.2123, 'learning_rate': 0.001281404421326398, 'epoch': 8.98}
{'loss': 1.0777, 'learning_rate': 0.0012015604681404422, 'epoch': 9.98}
{'loss': 0.9546, 'learning_rate': 0.0011217165149544864, 'epoch': 10.98}
{'loss': 0.8405, 'learning_rate': 0.0010418725617685305, 'epoch': 11.98}
{'loss': 0.7266, 'learning_rate': 0.0009620286085825748, 'epoch': 12.97}
{'loss': 0.6279, 'learning_rate': 0.000882184655396619, 'epoch': 13.97}
{'loss': 0.5311, 'learning_rate': 0.0008023407022106632, 'epoch': 14.97}
{'loss': 0.4466, 'learning_rate': 0.0007224967490247074, 'epoch': 15.97}
{'loss': 0.3703, 'learning_rate': 0.0006426527958387517, 'epoch': 16.97}
{'loss': 0.3022, 'learning_rate': 0.0005628088426527959, 'epoch': 17.96}
{'loss': 0.2445, 'learning_rate': 0.0004829648894668401, 'epoch': 18.96}
{'loss': 0.1944, 'learning_rate': 0.00040312093628088423, 'epoch': 19.96}
{'loss': 0.1529, 'learning_rate': 0.0003232769830949285, 'epoch': 20.96}
{'loss': 0.1193, 'learning_rate': 0.0002434330299089727, 'epoch': 21.96}
{'loss': 0.0922, 'learning_rate': 0.0001635890767230169, 'epoch': 22.96}
{'loss': 0.0718, 'learning_rate': 8.374512353706112e-05, 'epoch': 23.95}
{'loss': 0.0562, 'learning_rate': 3.901170351105332e-06, 'epoch': 24.95}
