{'loss': 2.7831, 'learning_rate': 4.8003901170351105e-05, 'epoch': 1.0}
{'loss': 2.3281, 'learning_rate': 4.6007802340702214e-05, 'epoch': 2.0}
{'loss': 2.161, 'learning_rate': 4.401170351105332e-05, 'epoch': 2.99}
{'loss': 2.0559, 'learning_rate': 4.2015604681404425e-05, 'epoch': 3.99}
{'loss': 1.9716, 'learning_rate': 4.001950585175553e-05, 'epoch': 4.99}
{'loss': 1.898, 'learning_rate': 3.802340702210663e-05, 'epoch': 5.99}
{'loss': 1.849, 'learning_rate': 3.602730819245774e-05, 'epoch': 6.99}
{'loss': 1.7827, 'learning_rate': 3.403120936280885e-05, 'epoch': 7.98}
{'loss': 1.741, 'learning_rate': 3.203511053315995e-05, 'epoch': 8.98}
{'loss': 1.6881, 'learning_rate': 3.0039011703511056e-05, 'epoch': 9.98}
{'loss': 1.6486, 'learning_rate': 2.804291287386216e-05, 'epoch': 10.98}
{'loss': 1.6103, 'learning_rate': 2.6046814044213264e-05, 'epoch': 11.98}
{'loss': 1.5766, 'learning_rate': 2.405071521456437e-05, 'epoch': 12.97}
{'loss': 1.5499, 'learning_rate': 2.2054616384915476e-05, 'epoch': 13.97}
{'loss': 1.5119, 'learning_rate': 2.005851755526658e-05, 'epoch': 14.97}
{'loss': 1.4877, 'learning_rate': 1.8062418725617687e-05, 'epoch': 15.97}
{'loss': 1.4638, 'learning_rate': 1.6066319895968793e-05, 'epoch': 16.97}
{'loss': 1.4404, 'learning_rate': 1.4070221066319897e-05, 'epoch': 17.96}
{'loss': 1.4186, 'learning_rate': 1.2074122236671002e-05, 'epoch': 18.96}
{'loss': 1.4018, 'learning_rate': 1.0078023407022107e-05, 'epoch': 19.96}
{'loss': 1.3924, 'learning_rate': 8.081924577373212e-06, 'epoch': 20.96}
{'loss': 1.3739, 'learning_rate': 6.085825747724318e-06, 'epoch': 21.96}
{'loss': 1.3683, 'learning_rate': 4.089726918075423e-06, 'epoch': 22.96}
{'loss': 1.354, 'learning_rate': 2.093628088426528e-06, 'epoch': 23.95}
{'loss': 1.3467, 'learning_rate': 9.75292587776333e-08, 'epoch': 24.95}
