{'loss': 2.6982, 'learning_rate': 6.720546163849154e-05, 'epoch': 1.0}
{'loss': 2.253, 'learning_rate': 6.441092327698308e-05, 'epoch': 2.0}
{'loss': 2.0843, 'learning_rate': 6.161638491547464e-05, 'epoch': 2.99}
{'loss': 1.972, 'learning_rate': 5.882184655396619e-05, 'epoch': 3.99}
{'loss': 1.8804, 'learning_rate': 5.602730819245773e-05, 'epoch': 4.99}
{'loss': 1.7957, 'learning_rate': 5.323276983094928e-05, 'epoch': 5.99}
{'loss': 1.7382, 'learning_rate': 5.0438231469440824e-05, 'epoch': 6.99}
{'loss': 1.6649, 'learning_rate': 4.764369310793238e-05, 'epoch': 7.98}
{'loss': 1.614, 'learning_rate': 4.4849154746423924e-05, 'epoch': 8.98}
{'loss': 1.5543, 'learning_rate': 4.2054616384915474e-05, 'epoch': 9.98}
{'loss': 1.5064, 'learning_rate': 3.926007802340702e-05, 'epoch': 10.98}
{'loss': 1.4592, 'learning_rate': 3.646553966189857e-05, 'epoch': 11.98}
{'loss': 1.4187, 'learning_rate': 3.367100130039012e-05, 'epoch': 12.97}
{'loss': 1.387, 'learning_rate': 3.087646293888166e-05, 'epoch': 13.97}
{'loss': 1.3406, 'learning_rate': 2.808192457737321e-05, 'epoch': 14.97}
{'loss': 1.3112, 'learning_rate': 2.5287386215864757e-05, 'epoch': 15.97}
{'loss': 1.2808, 'learning_rate': 2.2492847854356307e-05, 'epoch': 16.97}
{'loss': 1.2525, 'learning_rate': 1.9698309492847854e-05, 'epoch': 17.96}
{'loss': 1.2262, 'learning_rate': 1.69037711313394e-05, 'epoch': 18.96}
{'loss': 1.2058, 'learning_rate': 1.4109232769830947e-05, 'epoch': 19.96}
{'loss': 1.1905, 'learning_rate': 1.1314694408322495e-05, 'epoch': 20.96}
{'loss': 1.1713, 'learning_rate': 8.520156046814044e-06, 'epoch': 21.96}
{'loss': 1.1598, 'learning_rate': 5.725617685305591e-06, 'epoch': 22.96}
{'loss': 1.1464, 'learning_rate': 2.931079323797139e-06, 'epoch': 23.95}
{'loss': 1.136, 'learning_rate': 1.365409622886866e-07, 'epoch': 24.95}
