{'loss': 2.643, 'learning_rate': 8.6407022106632e-05, 'epoch': 1.0}
{'loss': 2.2006, 'learning_rate': 8.281404421326397e-05, 'epoch': 2.0}
{'loss': 2.0248, 'learning_rate': 7.922106631989598e-05, 'epoch': 2.99}
{'loss': 1.902, 'learning_rate': 7.562808842652797e-05, 'epoch': 3.99}
{'loss': 1.7999, 'learning_rate': 7.203511053315995e-05, 'epoch': 4.99}
{'loss': 1.7073, 'learning_rate': 6.844213263979194e-05, 'epoch': 5.99}
{'loss': 1.6421, 'learning_rate': 6.484915474642393e-05, 'epoch': 6.99}
{'loss': 1.5564, 'learning_rate': 6.125617685305592e-05, 'epoch': 7.98}
{'loss': 1.4999, 'learning_rate': 5.766319895968791e-05, 'epoch': 8.98}
{'loss': 1.4343, 'learning_rate': 5.40702210663199e-05, 'epoch': 9.98}
{'loss': 1.3774, 'learning_rate': 5.0477243172951886e-05, 'epoch': 10.98}
{'loss': 1.3244, 'learning_rate': 4.688426527958388e-05, 'epoch': 11.98}
{'loss': 1.2784, 'learning_rate': 4.329128738621587e-05, 'epoch': 12.97}
{'loss': 1.2375, 'learning_rate': 3.969830949284785e-05, 'epoch': 13.97}
{'loss': 1.1871, 'learning_rate': 3.610533159947985e-05, 'epoch': 14.97}
{'loss': 1.1531, 'learning_rate': 3.2512353706111834e-05, 'epoch': 15.97}
{'loss': 1.1166, 'learning_rate': 2.8919375812743828e-05, 'epoch': 16.97}
{'loss': 1.0853, 'learning_rate': 2.5326397919375816e-05, 'epoch': 17.96}
{'loss': 1.0537, 'learning_rate': 2.1733420026007803e-05, 'epoch': 18.96}
{'loss': 1.0304, 'learning_rate': 1.814044213263979e-05, 'epoch': 19.96}
{'loss': 1.0099, 'learning_rate': 1.4547464239271782e-05, 'epoch': 20.96}
{'loss': 0.99, 'learning_rate': 1.0954486345903771e-05, 'epoch': 21.96}
{'loss': 0.9769, 'learning_rate': 7.3615084525357605e-06, 'epoch': 22.96}
{'loss': 0.9596, 'learning_rate': 3.7685305591677506e-06, 'epoch': 23.95}
{'loss': 0.9505, 'learning_rate': 1.7555266579973993e-07, 'epoch': 24.95}
