{'loss': 4.2311, 'learning_rate': 1.9201560468140443e-06, 'epoch': 1.0}
{'loss': 3.3654, 'learning_rate': 1.8403120936280882e-06, 'epoch': 2.0}
{'loss': 3.1066, 'learning_rate': 1.7604681404421327e-06, 'epoch': 2.99}
{'loss': 2.9908, 'learning_rate': 1.6806241872561769e-06, 'epoch': 3.99}
{'loss': 2.9096, 'learning_rate': 1.600780234070221e-06, 'epoch': 4.99}
{'loss': 2.8427, 'learning_rate': 1.5209362808842651e-06, 'epoch': 5.99}
{'loss': 2.8204, 'learning_rate': 1.4410923276983093e-06, 'epoch': 6.99}
{'loss': 2.7656, 'learning_rate': 1.3612483745123538e-06, 'epoch': 7.98}
{'loss': 2.7404, 'learning_rate': 1.281404421326398e-06, 'epoch': 8.98}
{'loss': 2.7093, 'learning_rate': 1.2015604681404421e-06, 'epoch': 9.98}
{'loss': 2.6884, 'learning_rate': 1.1217165149544862e-06, 'epoch': 10.98}
{'loss': 2.6705, 'learning_rate': 1.0418725617685304e-06, 'epoch': 11.98}
{'loss': 2.6536, 'learning_rate': 9.620286085825747e-07, 'epoch': 12.97}
{'loss': 2.6447, 'learning_rate': 8.821846553966189e-07, 'epoch': 13.97}
{'loss': 2.6288, 'learning_rate': 8.023407022106632e-07, 'epoch': 14.97}
{'loss': 2.6169, 'learning_rate': 7.224967490247073e-07, 'epoch': 15.97}
{'loss': 2.6093, 'learning_rate': 6.426527958387517e-07, 'epoch': 16.97}
{'loss': 2.5965, 'learning_rate': 5.628088426527958e-07, 'epoch': 17.96}
{'loss': 2.5896, 'learning_rate': 4.829648894668401e-07, 'epoch': 18.96}
{'loss': 2.5859, 'learning_rate': 4.031209362808842e-07, 'epoch': 19.96}
{'loss': 2.5889, 'learning_rate': 3.2327698309492845e-07, 'epoch': 20.96}
{'loss': 2.5789, 'learning_rate': 2.434330299089727e-07, 'epoch': 21.96}
{'loss': 2.5817, 'learning_rate': 1.6358907672301688e-07, 'epoch': 22.96}
{'loss': 2.5691, 'learning_rate': 8.374512353706112e-08, 'epoch': 23.95}
{'loss': 2.57, 'learning_rate': 3.901170351105332e-09, 'epoch': 24.95}
