{'loss': 2.9151, 'learning_rate': 2.8802340702210662e-05, 'epoch': 1.0}
{'loss': 2.4523, 'learning_rate': 2.7604681404421327e-05, 'epoch': 2.0}
{'loss': 2.2868, 'learning_rate': 2.6407022106631992e-05, 'epoch': 2.99}
{'loss': 2.1865, 'learning_rate': 2.5209362808842653e-05, 'epoch': 3.99}
{'loss': 2.1107, 'learning_rate': 2.4011703511053318e-05, 'epoch': 4.99}
{'loss': 2.0432, 'learning_rate': 2.281404421326398e-05, 'epoch': 5.99}
{'loss': 2.0058, 'learning_rate': 2.161638491547464e-05, 'epoch': 6.99}
{'loss': 1.9472, 'learning_rate': 2.041872561768531e-05, 'epoch': 7.98}
{'loss': 1.9154, 'learning_rate': 1.922106631989597e-05, 'epoch': 8.98}
{'loss': 1.8713, 'learning_rate': 1.802340702210663e-05, 'epoch': 9.98}
{'loss': 1.8417, 'learning_rate': 1.6825747724317296e-05, 'epoch': 10.98}
{'loss': 1.8117, 'learning_rate': 1.5628088426527958e-05, 'epoch': 11.98}
{'loss': 1.785, 'learning_rate': 1.4430429128738623e-05, 'epoch': 12.97}
{'loss': 1.7675, 'learning_rate': 1.3232769830949284e-05, 'epoch': 13.97}
{'loss': 1.7361, 'learning_rate': 1.2035110533159949e-05, 'epoch': 14.97}
{'loss': 1.7188, 'learning_rate': 1.0837451235370612e-05, 'epoch': 15.97}
{'loss': 1.7004, 'learning_rate': 9.639791937581275e-06, 'epoch': 16.97}
{'loss': 1.6852, 'learning_rate': 8.442132639791938e-06, 'epoch': 17.96}
{'loss': 1.6658, 'learning_rate': 7.244473342002601e-06, 'epoch': 18.96}
{'loss': 1.6541, 'learning_rate': 6.046814044213264e-06, 'epoch': 19.96}
{'loss': 1.6513, 'learning_rate': 4.849154746423927e-06, 'epoch': 20.96}
{'loss': 1.6367, 'learning_rate': 3.6514954486345904e-06, 'epoch': 21.96}
{'loss': 1.6317, 'learning_rate': 2.4538361508452535e-06, 'epoch': 22.96}
{'loss': 1.6195, 'learning_rate': 1.2561768530559168e-06, 'epoch': 23.95}
{'loss': 1.6168, 'learning_rate': 5.851755526657998e-08, 'epoch': 24.95}
